epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8542,0.8149,1.68019,1.11017,0.85295,0.71687,0.80208,0.53575,0.99668,2.13414,1.23694,0.000657005,0.000657005,0.000657005
2,30.7139,0.81694,1.02902,1.09651,0.76072,0.74691,0.76647,0.25747,1.25956,2.22046,1.57121,0.00129746,0.00129746,0.00129746
3,44.2482,0.83165,0.89033,1.11053,0.76134,0.78313,0.85172,0.57496,1.03522,1.26758,1.27394,0.00191152,0.00191152,0.00191152
4,57.9315,0.80786,0.77086,1.09668,0.55804,0.61747,0.59787,0.27225,1.74403,1.92523,1.86373,0.0018812,0.0018812,0.0018812
5,71.4905,0.80432,0.69826,1.08424,0.82777,0.89754,0.89944,0.61223,1.00075,1.12946,1.15966,0.0018416,0.0018416,0.0018416
6,85.6321,0.75962,0.63392,1.06663,0.78961,0.85916,0.85963,0.42488,1.35162,1.40689,1.34606,0.001802,0.001802,0.001802
7,99.3478,0.76221,0.58641,1.06053,0.82709,0.85003,0.88618,0.6031,1.07797,0.88417,1.19697,0.0017624,0.0017624,0.0017624
8,113.51,0.73676,0.56529,1.06488,0.89036,0.79819,0.8907,0.64175,1.02205,0.9249,1.15694,0.0017228,0.0017228,0.0017228
9,127.223,0.71598,0.53775,1.04321,0.95314,0.91566,0.9572,0.69308,1.01718,0.6285,1.24133,0.0016832,0.0016832,0.0016832
10,140.658,0.73618,0.52259,1.05288,0.9243,0.91944,0.95629,0.74159,0.88205,0.61929,1.06726,0.0016436,0.0016436,0.0016436
11,154.404,0.70855,0.48776,1.03272,0.96197,0.95482,0.96263,0.73219,0.85343,0.60901,1.04962,0.001604,0.001604,0.001604
12,167.764,0.70395,0.49493,1.03583,0.93321,0.93675,0.96331,0.74216,0.89322,0.5621,1.08108,0.0015644,0.0015644,0.0015644
